iteracion,mejor_makespan
1,1391
2,1378
3,1373
4,1354
5,1354
6,1354
7,1354
8,1348
9,1341
10,1341
11,1341
12,1341
13,1341
14,1325
15,1325
16,1325
17,1325
18,1325
19,1325
20,1325
21,1321
22,1321
23,1321
24,1319
25,1319
26,1319
27,1319
28,1319
29,1318
30,1318
31,1307
32,1307
33,1307
34,1307
35,1307
36,1307
37,1286
38,1286
39,1286
40,1286
41,1256
42,1256
43,1256
44,1256
45,1256
46,1256
47,1256
48,1253
49,1253
50,1253
51,1249
52,1249
53,1249
54,1249
55,1249
56,1249
57,1249
58,1249
59,1249
60,1249
61,1249
62,1249
63,1249
64,1249
65,1249
66,1249
67,1249
68,1249
69,1249
70,1249
71,1249
72,1249
73,1249
74,1249
75,1249
76,1249
77,1249
78,1249
79,1249
80,1249
81,1249
82,1249
83,1249
84,1249
85,1249
86,1249
87,1249
88,1249
89,1249
90,1249
91,1249
92,1249
93,1249
94,1249
95,1249
96,1249
97,1249
98,1249
99,1249
100,1249
101,1249
102,1249
103,1249
104,1249
105,1249
106,1249
107,1249
108,1249
109,1249
110,1249
111,1249
112,1249
113,1249
114,1249
115,1249
116,1249
117,1249
118,1249
119,1249
120,1249
121,1249
122,1249
123,1249
124,1249
125,1249
126,1249
127,1249
128,1249
129,1249
130,1249
131,1249
132,1249
133,1249
134,1249
135,1249
136,1249
137,1249
138,1249
139,1249
140,1249
141,1249
142,1249
143,1249
144,1249
145,1249
146,1249
147,1249
148,1249
149,1249
150,1249
151,1249
152,1249
153,1249
154,1249
155,1249
156,1249
157,1249
158,1249
159,1249
160,1249
161,1249
162,1249
163,1249
164,1249
165,1249
166,1249
167,1249
168,1249
169,1249
170,1249
171,1249
172,1249
173,1249
174,1249
175,1249
176,1249
177,1249
178,1249
179,1249
180,1249
181,1249
182,1249
183,1249
184,1249
185,1249
186,1249
187,1249
188,1249
189,1249
190,1249
191,1249
192,1249
193,1249
194,1249
195,1249
196,1249
197,1249
198,1249
199,1249
200,1249
201,1249
202,1249
203,1249
204,1249
205,1249
206,1249
207,1249
208,1249
209,1249
210,1249
211,1249
212,1249
213,1249
214,1249
215,1249
216,1249
217,1249
218,1249
219,1249
220,1249
221,1249
222,1249
223,1249
224,1249
225,1249
226,1249
227,1249
228,1249
229,1249
230,1249
231,1249
232,1249
233,1249
234,1249
235,1249
236,1249
237,1249
238,1249
239,1249
240,1249
241,1249
242,1249
243,1249
244,1249
245,1249
246,1249
247,1249
248,1249
249,1249
250,1249
251,1249
252,1249
253,1249
254,1249
255,1249
256,1249
257,1249
258,1249
259,1249
260,1249
261,1249
262,1249
263,1249
264,1249
265,1249
266,1249
267,1249
268,1249
269,1249
270,1249
271,1249
272,1249
273,1249
274,1249
275,1249
276,1249
277,1249
278,1249
279,1249
280,1249
281,1249
282,1249
283,1249
284,1249
285,1249
286,1249
287,1249
288,1249
289,1249
290,1249
291,1249
292,1249
293,1249
294,1249
295,1249
296,1249
297,1249
298,1249
299,1249
300,1249
